,class,value,node
InstanstaneousDeficit,InstantaneousDeficictNodeRecorder,0.0,PT1
Total Contracts Made,NumpyArrayParameterRecorder,5650.666666666667,
Maximum Deficit,MaximumDeficitNodeRecorder,0.44561646242895103,PT1
Caudal en salida promedio,MeanFlowNodeRecorder,50.91431979658735,Salida Maipo
deficit PT1,TotalDeficitNodeRecorder,327.68337451120726,PT1
ReservoirCost,ReservoirCostRecorder,0.0,
RollingMeanFlowElManzano,RollingMeanFlowNodeRecorder,50.278260147666664,El Manzano
PurchasesCost,PurchasesCostRecorder,0.0,
PremiumAprilCost,PurchasesCostRecorder,350423161.6252987,
PremiumOctoberCost,PurchasesCostRecorder,350423161.6252987,
AprilSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,50.278260147666664,El Manzano
AprilContractCost,ContractCostRecorder,28219.547046754815,
OctoberSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,50.278260147666664,El Manzano
OctoberContractCost,ContractCostRecorder,28219.547046754815,
TotalCost,AggregatedRecorder,700902762.3446909,
failure_frequency_PT1,DeficitFrequencyNodeRecorder,0.010256410256410256,PT1
Max Deficit Duration,EventDurationRecorder,2.7333333333333334,
