,class,value,node
InstanstaneousDeficit,InstantaneousDeficictNodeRecorder,0.0,PT1
Total Contracts Made,NumpyArrayParameterRecorder,3293.3333333333335,
Maximum Deficit,MaximumDeficitNodeRecorder,1.259113338957221,PT1
Caudal en salida promedio,MeanFlowNodeRecorder,48.14640549386857,Salida Maipo
deficit PT1,TotalDeficitNodeRecorder,393.51646425324316,PT1
ReservoirCost,ReservoirCostRecorder,0.0,
RollingMeanFlowElManzano,RollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
PurchasesCost,PurchasesCostRecorder,0.0,
PremiumAprilCost,PurchasesCostRecorder,304271150.5754741,
PremiumOctoberCost,PurchasesCostRecorder,304271150.5754741,
AprilSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
AprilContractCost,ContractCostRecorder,28219.547046754815,
OctoberSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
OctoberContractCost,ContractCostRecorder,28219.547046754815,
TotalCost,AggregatedRecorder,608598740.2450416,
failure_frequency_PT1,DeficitFrequencyNodeRecorder,0.012948717948717948,PT1
Max Deficit Duration,EventDurationRecorder,4.066666666666666,
