,class,value,node
InstanstaneousDeficit,InstantaneousDeficictNodeRecorder,0.0,PT1
Total Contracts Made,NumpyArrayParameterRecorder,3952.0,
Maximum Deficit,MaximumDeficitNodeRecorder,0.4487685909194209,PT1
Caudal en salida promedio,MeanFlowNodeRecorder,50.914905023280696,Salida Maipo
deficit PT1,TotalDeficitNodeRecorder,331.73362767898743,PT1
ReservoirCost,ReservoirCostRecorder,0.0,
RollingMeanFlowElManzano,RollingMeanFlowNodeRecorder,50.25729374766667,El Manzano
PurchasesCost,PurchasesCostRecorder,0.0,
PremiumAprilCost,PurchasesCostRecorder,350458422.4425846,
PremiumOctoberCost,PurchasesCostRecorder,350458422.4425846,
AprilSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,50.25729374766667,El Manzano
AprilContractCost,ContractCostRecorder,28219.547046754815,
OctoberSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,50.25729374766667,El Manzano
OctoberContractCost,ContractCostRecorder,28219.547046754815,
TotalCost,AggregatedRecorder,700973283.9792627,
failure_frequency_PT1,DeficitFrequencyNodeRecorder,0.010256410256410256,PT1
Max Deficit Duration,EventDurationRecorder,2.7333333333333334,
