,class,value,node
InstanstaneousDeficit,InstantaneousDeficictNodeRecorder,0.0,PT1
Total Contracts Made,NumpyArrayParameterRecorder,2028.0,
Maximum Deficit,MaximumDeficitNodeRecorder,1.3109748736014377,PT1
Caudal en salida promedio,MeanFlowNodeRecorder,48.147553943755966,Salida Maipo
deficit PT1,TotalDeficitNodeRecorder,400.77261587298665,PT1
ReservoirCost,ReservoirCostRecorder,0.0,
RollingMeanFlowElManzano,RollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
PurchasesCost,PurchasesCostRecorder,0.0,
PremiumAprilCost,PurchasesCostRecorder,304243473.43600154,
PremiumOctoberCost,PurchasesCostRecorder,304243473.43600154,
AprilSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
AprilContractCost,ContractCostRecorder,28219.547046754815,
OctoberSeasonRollingMeanFlowElManzano,SeasonRollingMeanFlowNodeRecorder,36.43086800446666,El Manzano
OctoberContractCost,ContractCostRecorder,28219.547046754815,
TotalCost,AggregatedRecorder,608543385.9660966,
failure_frequency_PT1,DeficitFrequencyNodeRecorder,0.013205128205128206,PT1
Max Deficit Duration,EventDurationRecorder,4.133333333333334,
